,filename,spheroid No,area (in pixels),intensity
0,Aufnahme-3760-Image Export-37.jpg,0,216892,161.91
1,Aufnahme-3732-Image Export-09.jpg,0,324271.5,246.49
2,Aufnahme-3731-Image Export-08.jpg,0,262898.5,185.69
3,Aufnahme-3751-Image Export-28.jpg,0,118393,249.95
4,Aufnahme-3752-Image Export-29.jpg,0,146130,121.11
5,Aufnahme-3763-Image Export-40.jpg,0,162703,159.84
6,Aufnahme-3740-Image Export-17.jpg,0,381123,235.66
7,Aufnahme-3727-Image Export-04.jpg,0,210069,205.23
8,Aufnahme-3741-Image Export-18.jpg,0,475707,204.32
9,Aufnahme-3745-Image Export-22.jpg,0,168453,132.96
10,Aufnahme-3738-Image Export-15.jpg,0,322303,246.57
11,Aufnahme-3744-Image Export-21.jpg,0,167305.5,165.11
12,Aufnahme-3739-Image Export-16.jpg,0,314687.5,247.89
13,Aufnahme-3746-Image Export-23.jpg,0,144285.5,240.81
14,Aufnahme-3726-Image Export-03.jpg,0,372452.5,222.11
15,Aufnahme-3759-Image Export-36.jpg,0,205463.5,217.04
16,Aufnahme-3724-Image Export-01.jpg,0,366837.5,245.18
17,Aufnahme-3758-Image Export-35.jpg,0,170737,132.57
18,Aufnahme-3725-Image Export-02.jpg,0,255128.5,189.49
19,Aufnahme-3747-Image Export-24.jpg,0,168984,137.66
20,Aufnahme-3749-Image Export-26.jpg,0,173586.5,169.58
21,Aufnahme-3734-Image Export-11.jpg,0,230459,199.98
22,Aufnahme-3736-Image Export-13.jpg,0,352964.5,244.3
23,Aufnahme-3757-Image Export-34.jpg,0,174702.5,172.03
24,Aufnahme-3748-Image Export-25.jpg,0,292334.5,220.66
25,Aufnahme-3735-Image Export-12.jpg,0,391880.5,241.41
26,Aufnahme-3728-Image Export-05.jpg,0,233376,158.84
27,Aufnahme-3761-Image Export-38.jpg,0,164450.5,171.05
28,Aufnahme-3737-Image Export-14.jpg,0,336185,224.79
29,Aufnahme-3756-Image Export-33.jpg,0,180476.5,216.09
30,Aufnahme-3762-Image Export-39.jpg,0,151551,122.18
31,Aufnahme-3730-Image Export-07.jpg,0,315009,249.94
32,Aufnahme-3754-Image Export-31.jpg,0,177166,182.79
33,Aufnahme-3733-Image Export-10.jpg,0,410321.5,233.81
34,Aufnahme-3794-Image Export-27.jpg,0,249051,144.18
35,Aufnahme-3788-Image Export-21.jpg,0,158111.5,141.26
36,Aufnahme-3802-Image Export-35.jpg,0,171038.5,92.42
37,Aufnahme-3797-Image Export-30.jpg,0,287228.5,128.7
38,Aufnahme-3803-Image Export-36.jpg,0,191778,157.21
39,Aufnahme-3789-Image Export-22.jpg,0,167025.5,119.55
40,Aufnahme-3801-Image Export-34.jpg,0,169971,129.32
41,Aufnahme-3792-Image Export-25.jpg,0,290563,151.86
42,Aufnahme-3804-Image Export-37.jpg,0,213101.5,108.92
43,Aufnahme-3791-Image Export-24.jpg,0,160725,60.14
44,Aufnahme-3800-Image Export-33.jpg,0,177777.5,158.74
45,Aufnahme-3793-Image Export-26.jpg,0,182733,100.28
46,Aufnahme-3785-Image Export-18.jpg,0,399114.5,124.02
47,Aufnahme-3774-Image Export-08.jpg,0,263638,176.25
48,Aufnahme-3798-Image Export-31.jpg,0,175836,156.22
49,Aufnahme-3807-Image Export-40.jpg,0,165106.5,107.66
50,Aufnahme-3776-Image Export-09.jpg,0,267518,220.26
51,Aufnahme-3782-Image Export-15.jpg,0,287569,203.7
52,Aufnahme-3768-Image Export-01.jpg,0,303616.5,163.56
53,Aufnahme-3777-Image Export-10.jpg,0,333930.5,179.69
54,Aufnahme-3781-Image Export-14.jpg,0,286042.5,138.26
55,Aufnahme-3769-Image Export-03.jpg,0,214457,105.21
56,Aufnahme-3783-Image Export-16.jpg,0,273946.5,211.37
57,Aufnahme-3784-Image Export-17.jpg,0,124691,204.31
58,Aufnahme-3772-Image Export-06.jpg,0,206011.5,90.55
59,Aufnahme-3773-Image Export-07.jpg,0,199461.5,196.12
60,Aufnahme-3780-Image Export-13.jpg,0,293895,188.97
61,Aufnahme-3770-Image Export-04.jpg,0,291027.5,220.35
62,Aufnahme-3775-Image Export-02.jpg,0,109325,97.08
63,Aufnahme-3771-Image Export-05.jpg,0,178465,147.13
64,Aufnahme-3805-Image Export-38.jpg,0,179877,156.06
65,Aufnahme-3806-Image Export-39.jpg,0,152391.5,75.95
66,Aufnahme-3778-Image Export-11.jpg,0,203710.5,65.28
67,Aufnahme-3779-Image Export-12.jpg,0,339553.5,183.99
68,Aufnahme-3796-Image Export-29.jpg,0,148499.5,108.83
0,Aufnahme-3861-Image Export-05.jpg,0,124791,143.69
1,Aufnahme-3860-Image Export-04.jpg,0,113005.5,151.29
2,Aufnahme-3863-Image Export-07.jpg,0,153888,189.22
3,Aufnahme-3862-Image Export-06.jpg,0,169507.5,105.99
4,Aufnahme-3895-Image Export-39.jpg,0,151409,152.62
5,Aufnahme-3894-Image Export-38.jpg,0,171677,189.37
6,Aufnahme-3867-Image Export-11.jpg,0,130981.5,102.9
7,Aufnahme-3866-Image Export-10.jpg,0,138751.5,114.24
8,Aufnahme-3885-Image Export-29.jpg,0,148603,163.42
9,Aufnahme-3868-Image Export-12.jpg,0,117901,134.17
10,Aufnahme-3869-Image Export-13.jpg,0,145945.5,160.5
11,Aufnahme-3873-Image Export-17.jpg,0,162911,166.88
12,Aufnahme-3872-Image Export-16.jpg,0,125749.5,94.49
13,Aufnahme-3871-Image Export-15.jpg,0,125812.5,156.8
14,Aufnahme-3870-Image Export-14.jpg,0,133209.5,100.98
15,Aufnahme-3880-Image Export-24.jpg,0,166859.5,117.12
16,Aufnahme-3896-Image Export-40.jpg,0,163663,144.06
17,Aufnahme-3859-Image Export-03.jpg,0,156713,84.45
18,Aufnahme-3858-Image Export-02.jpg,0,125390.5,168.26
19,Aufnahme-3882-Image Export-26.jpg,0,180909,167.92
20,Aufnahme-3883-Image Export-27.jpg,0,245705,128.83
21,Aufnahme-3874-Image Export-18.jpg,0,106449.5,162.24
22,Aufnahme-3875-Image Export-19.jpg,0,84028,141.33
23,Aufnahme-3887-Image Export-31.jpg,0,170879,181.88
24,Aufnahme-3864-Image Export-08.jpg,0,138333.5,182.99
25,Aufnahme-3865-Image Export-09.jpg,0,161238,138.68
26,Aufnahme-3889-Image Export-33.jpg,0,171908,130.87
27,Aufnahme-3857-Image Export-01.jpg,0,180839,144.23
28,Aufnahme-3892-Image Export-36.jpg,0,193418,182.39
29,Aufnahme-3879-Image Export-23.jpg,0,140600,150.04
30,Aufnahme-3893-Image Export-37.jpg,0,214169,138.84
31,Aufnahme-3878-Image Export-22.jpg,0,164475,199.15
32,Aufnahme-3890-Image Export-34.jpg,0,166990,176.6
33,Aufnahme-3891-Image Export-35.jpg,0,171691.5,157.81
