filename,Group,Time
Aufnahme-3724-Image Export-01.jpg,FBS,0
Aufnahme-3725-Image Export-02.jpg,FBS,0
Aufnahme-3726-Image Export-03.jpg,FBS,0
Aufnahme-3727-Image Export-04.jpg,FBS,0
Aufnahme-3728-Image Export-05.jpg,FBS,0
Aufnahme-3730-Image Export-07.jpg,FBS,0
Aufnahme-3731-Image Export-08.jpg,FBS,0
Aufnahme-3732-Image Export-09.jpg,FBS,0
Aufnahme-3733-Image Export-10.jpg,FBS,0
Aufnahme-3734-Image Export-11.jpg,FBS,0
Aufnahme-3735-Image Export-12.jpg,FBS,0
Aufnahme-3736-Image Export-13.jpg,FBS,0
Aufnahme-3737-Image Export-14.jpg,FBS,0
Aufnahme-3738-Image Export-15.jpg,FBS,0
Aufnahme-3739-Image Export-16.jpg,FBS,0
Aufnahme-3740-Image Export-17.jpg,FBS,0
Aufnahme-3741-Image Export-18.jpg,FBS,0
Aufnahme-3744-Image Export-21.jpg,NO-FBS,0
Aufnahme-3745-Image Export-22.jpg,NO-FBS,0
Aufnahme-3746-Image Export-23.jpg,NO-FBS,0
Aufnahme-3747-Image Export-24.jpg,NO-FBS,0
Aufnahme-3748-Image Export-25.jpg,NO-FBS,0
Aufnahme-3749-Image Export-26.jpg,NO-FBS,0
Aufnahme-3751-Image Export-28.jpg,NO-FBS,0
Aufnahme-3752-Image Export-29.jpg,NO-FBS,0
Aufnahme-3754-Image Export-31.jpg,NO-FBS,0
Aufnahme-3756-Image Export-33.jpg,NO-FBS,0
Aufnahme-3757-Image Export-34.jpg,NO-FBS,0
Aufnahme-3758-Image Export-35.jpg,NO-FBS,0
Aufnahme-3759-Image Export-36.jpg,NO-FBS,0
Aufnahme-3760-Image Export-37.jpg,NO-FBS,0
Aufnahme-3761-Image Export-38.jpg,NO-FBS,0
Aufnahme-3762-Image Export-39.jpg,NO-FBS,0
Aufnahme-3763-Image Export-40.jpg,NO-FBS,0
Aufnahme-3768-Image Export-01.jpg,FBS,3.5
Aufnahme-3769-Image Export-03.jpg,FBS,3.5
Aufnahme-3770-Image Export-04.jpg,FBS,3.5
Aufnahme-3771-Image Export-05.jpg,FBS,3.5
Aufnahme-3772-Image Export-06.jpg,FBS,3.5
Aufnahme-3773-Image Export-07.jpg,FBS,3.5
Aufnahme-3774-Image Export-08.jpg,FBS,3.5
Aufnahme-3775-Image Export-02.jpg,FBS,3.5
Aufnahme-3776-Image Export-09.jpg,FBS,3.5
Aufnahme-3777-Image Export-10.jpg,FBS,3.5
Aufnahme-3778-Image Export-11.jpg,FBS,3.5
Aufnahme-3779-Image Export-12.jpg,FBS,3.5
Aufnahme-3780-Image Export-13.jpg,FBS,3.5
Aufnahme-3781-Image Export-14.jpg,FBS,3.5
Aufnahme-3782-Image Export-15.jpg,FBS,3.5
Aufnahme-3783-Image Export-16.jpg,FBS,3.5
Aufnahme-3784-Image Export-17.jpg,FBS,3.5
Aufnahme-3785-Image Export-18.jpg,FBS,3.5
Aufnahme-3788-Image Export-21.jpg,NO-FBS,3.5
Aufnahme-3789-Image Export-22.jpg,NO-FBS,3.5
Aufnahme-3791-Image Export-24.jpg,NO-FBS,3.5
Aufnahme-3792-Image Export-25.jpg,NO-FBS,3.5
Aufnahme-3793-Image Export-26.jpg,NO-FBS,3.5
Aufnahme-3794-Image Export-27.jpg,NO-FBS,3.5
Aufnahme-3796-Image Export-29.jpg,NO-FBS,3.5
Aufnahme-3797-Image Export-30.jpg,NO-FBS,3.5
Aufnahme-3798-Image Export-31.jpg,NO-FBS,3.5
Aufnahme-3800-Image Export-33.jpg,NO-FBS,3.5
Aufnahme-3801-Image Export-34.jpg,NO-FBS,3.5
Aufnahme-3802-Image Export-35.jpg,NO-FBS,3.5
Aufnahme-3803-Image Export-36.jpg,NO-FBS,3.5
Aufnahme-3804-Image Export-37.jpg,NO-FBS,3.5
Aufnahme-3805-Image Export-38.jpg,NO-FBS,3.5
Aufnahme-3806-Image Export-39.jpg,NO-FBS,3.5
Aufnahme-3807-Image Export-40.jpg,NO-FBS,3.5
Aufnahme-3857-Image Export-01.jpg,FBS,26
Aufnahme-3858-Image Export-02.jpg,FBS,26
Aufnahme-3859-Image Export-03.jpg,FBS,26
Aufnahme-3860-Image Export-04.jpg,FBS,26
Aufnahme-3861-Image Export-05.jpg,FBS,26
Aufnahme-3862-Image Export-06.jpg,FBS,26
Aufnahme-3863-Image Export-07.jpg,FBS,26
Aufnahme-3864-Image Export-08.jpg,FBS,26
Aufnahme-3865-Image Export-09.jpg,FBS,26
Aufnahme-3866-Image Export-10.jpg,FBS,26
Aufnahme-3867-Image Export-11.jpg,FBS,26
Aufnahme-3868-Image Export-12.jpg,FBS,26
Aufnahme-3869-Image Export-13.jpg,FBS,26
Aufnahme-3870-Image Export-14.jpg,FBS,26
Aufnahme-3871-Image Export-15.jpg,FBS,26
Aufnahme-3872-Image Export-16.jpg,FBS,26
Aufnahme-3873-Image Export-17.jpg,FBS,26
Aufnahme-3874-Image Export-18.jpg,FBS,26
Aufnahme-3875-Image Export-19.jpg,FBS,26
Aufnahme-3878-Image Export-22.jpg,NO-FBS,26
Aufnahme-3879-Image Export-23.jpg,NO-FBS,26
Aufnahme-3880-Image Export-24.jpg,NO-FBS,26
Aufnahme-3882-Image Export-26.jpg,NO-FBS,26
Aufnahme-3883-Image Export-27.jpg,NO-FBS,26
Aufnahme-3885-Image Export-29.jpg,NO-FBS,26
Aufnahme-3887-Image Export-31.jpg,NO-FBS,26
Aufnahme-3889-Image Export-33.jpg,NO-FBS,26
Aufnahme-3890-Image Export-34.jpg,NO-FBS,26
Aufnahme-3891-Image Export-35.jpg,NO-FBS,26
Aufnahme-3892-Image Export-36.jpg,NO-FBS,26
Aufnahme-3893-Image Export-37.jpg,NO-FBS,26
Aufnahme-3894-Image Export-38.jpg,NO-FBS,26
Aufnahme-3895-Image Export-39.jpg,NO-FBS,26
Aufnahme-3896-Image Export-40.jpg,NO-FBS,26
